id,desc
PWY-5965,fatty acid biosynthesis initiation III
PWY-5966,fatty acid biosynthesis initiation II
PWY-5971,palmitate biosynthesis II (type II fatty acid synthase)
PWY-5973,<i>cis</i>-vaccenate biosynthesis
PWY-6012,acyl carrier protein metabolism
PWY-6019,pseudouridine degradation
PWY-6038,citrate degradation
PWY-6071,superpathway of phenylethylamine degradation
PWY-6121,5-aminoimidazole ribonucleotide biosynthesis I
PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II
PWY-6123,inosine-5'-phosphate biosynthesis I
PWY-6125,superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II
PWY-6126,superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II
PWY-6147,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6151,<i>S</i>-adenosyl-L-methionine salvage I
PWY-6153,autoinducer AI-2 biosynthesis I
PWY-6163,chorismate biosynthesis from 3-dehydroquinate
PWY-6164,3-dehydroquinate biosynthesis I
PWY-6277,superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6282,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PWY-6284,superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)
PWY-6387,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)
PWY-6519,8-amino-7-oxononanoate biosynthesis I
PWY-6535,4-aminobutanoate degradation I
PWY-6537,4-aminobutanoate degradation II
PWY-6543,4-aminobenzoate biosynthesis I
PWY-6556,pyrimidine ribonucleosides salvage II
PWY-6579,superpathway of guanine and guanosine salvage
PWY-66,GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-6605,adenine and adenosine salvage II
PWY-6608,guanosine nucleotides degradation III
PWY-6609,adenine and adenosine salvage III
PWY-6611,adenine and adenosine salvage V
PWY-6612,superpathway of tetrahydrofolate biosynthesis
PWY-6614,tetrahydrofolate biosynthesis I
PWY-6617,adenosine nucleotides degradation III
PWY-6620,guanine and guanosine salvage I
PWY-6690,cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
PWY-6700,queuosine biosynthesis I (<i>de novo</i>)
PWY-6703,preQ<sub>0</sub> biosynthesis
PWY-6708,ubiquinol-8 biosynthesis (early decarboxylation)
PWY-6823,molybdopterin biosynthesis
PWY-6890,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I
PWY-6892,thiazole component of thiamine diphosphate biosynthesis I
PWY-6894,thiamine diphosphate biosynthesis I (E. coli)
PWY-6897,thiamine diphosphate salvage II
PWY-6910,hydroxymethylpyrimidine salvage
PWY-6952,glycerophosphodiester degradation
PWY-6961,"L-ascorbate degradation II (bacterial, aerobic)"
PWY-7176,UTP and CTP <i>de novo</i> biosynthesis
PWY-7179,purine deoxyribonucleosides degradation I
PWY-7180,2-deoxy-&alpha;-D-ribose 1-phosphate degradation
PWY-7181,pyrimidine deoxyribonucleosides degradation
PWY-7184,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-7187,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-7193,pyrimidine ribonucleosides salvage I
PWY-7194,pyrimidine nucleobases salvage II
PWY-7195,pyrimidine ribonucleosides salvage III
PWY-7196,superpathway of pyrimidine ribonucleosides salvage
PWY-7197,pyrimidine deoxyribonucleotide phosphorylation
PWY-7205,CMP phosphorylation
PWY-7206,pyrimidine deoxyribonucleotides dephosphorylation
PWY-7208,superpathway of pyrimidine nucleobases salvage
PWY-7211,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis
PWY-7219,adenosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7220,adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-7221,guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7222,guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-7242,D-fructuronate degradation
PWY-7247,&beta;-D-glucuronide and D-glucuronate degradation
PWY-7315,dTDP-<i>N</i>-acetylthomosamine biosynthesis
PWY-7343,UDP-&alpha;-D-glucose biosynthesis
PWY-7446,sulfoquinovose degradation I
PWY-7544,pyruvate to cytochrome <i>bo</i> oxidase electron transfer
PWY-7545,pyruvate to cytochrome <i>bd</i> oxidase electron transfer
PWY-7761,NAD salvage pathway II (PNC IV cycle)
PWY-7801,N-end rule pathway I (prokaryotic)
PWY-7805,(aminomethyl)phosphonate degradation
PWY-7870,L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)
PWY-7884,lipoprotein posttranslational modification (Gram-negative bacteria)
PWY-7892,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
PWY-7971,adenosylcobinamide-GDP salvage from cobinamide I
PWY-7980,ATP biosynthesis
PWY-8072,alanine racemization
PWY-8147,cytochrome <i>c</i> biogenesis (system I type)
PWY-8164,<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation
PWY-8171,molybdenum cofactor biosynthesis
PWY-8227,superpathway of enterobacterial common antigen biosynthesis
PWY-8243,colanic acid (<i>Escherichia coli</i> K12) biosynthesis
PWY-8291,L-aspartate degradation II (aerobic)
PWY-8294,L-aspartate degradation III (anaerobic)
PWY0-1021,L-alanine biosynthesis III
PWY0-1061,superpathway of L-alanine biosynthesis
PWY0-1182,trehalose degradation II (cytosolic)
PWY0-1221,putrescine degradation II
PWY0-1241,ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
PWY0-1261,peptidoglycan recycling I
PWY0-1264,malonyl-CoA biosynthesis via biotin-carboxyl carrier protein
PWY0-1275,lipoate biosynthesis and incorporation II
PWY0-1277,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
PWY0-1280,ethylene glycol degradation
PWY0-1295,pyrimidine ribonucleosides degradation
PWY0-1296,purine ribonucleosides degradation
PWY0-1297,superpathway of purine deoxyribonucleosides degradation
PWY0-1298,superpathway of pyrimidine deoxyribonucleosides degradation
PWY0-1300,2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation
PWY0-1303,aminopropylcadaverine biosynthesis
PWY0-1305,L-glutamate degradation IX (via 4-aminobutanoate)
PWY0-1309,chitobiose degradation
PWY0-1312,acetate and ATP formation from acetyl-CoA I
PWY0-1317,L-lactaldehyde degradation (aerobic)
PWY0-1319,CDP-diacylglycerol biosynthesis II
PWY0-1321,nitrate reduction III (dissimilatory)
PWY0-1324,<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I
PWY0-1325,superpathway of L-asparagine biosynthesis
PWY0-1329,succinate to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1334,NADH to cytochrome <i>bd</i> oxidase electron transfer I
PWY0-1335,NADH to cytochrome <i>bo</i> oxidase electron transfer I
PWY0-1336,NADH to fumarate electron transfer
PWY0-1337,oleate &beta;-oxidation
PWY0-1338,polymyxin resistance
PWY0-1347,NADH to trimethylamine <i>N</i>-oxide electron transfer
PWY0-1348,NADH to dimethyl sulfoxide electron transfer
PWY0-1352,nitrate reduction VIII (dissimilatory)
PWY0-1353,succinate to cytochrome <i>bd</i> oxidase electron transfer
PWY0-1355,formate to trimethylamine <i>N</i>-oxide electron transfer
PWY0-1356,formate to dimethyl sulfoxide electron transfer
PWY0-1415,superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III
PWY0-1433,tetrahydromonapterin biosynthesis
PWY0-1458,"PhoQP Two-Component Signal Transduction System, magnesium-dependent"
PWY0-1468,"DcuSR Two-Component Signal Transduction System, C<sub>4</sub>-dicarboxylate-dependent"
PWY0-1470,"QseBC Two-Component Signal Transduction System, quorum sensing related"
PWY0-1471,uracil degradation III
PWY0-1474,AtoSC Two-Component Signal Transduction System
PWY0-1477,ethanolamine utilization
PWY0-1479,tRNA processing
PWY0-1481,BaeSR Two-Component Signal Transduction System
PWY0-1482,BasSR Two-Component Signal Transduction System
PWY0-1483,"PhoRB Two-Component Signal Transduction System, phosphate-dependent"
PWY0-1485,CpxAR Two-Component Signal Transduction System
PWY0-1487,CreCB Two-Component Signal Transduction System
PWY0-1490,EvgSA Two-Component Signal Transduction System
PWY0-1492,UhpBA Two Component Signal Transduction System
PWY0-1493,Rcs Signal Transduction System
PWY0-1495,"KdpDE Two-Component Signal Transduction System, potassium-dependent"
PWY0-1497,RstBA Two-Component Signal Transduction System
PWY0-1498,ZraSR Two-Component Signal Transduction System
PWY0-1499,DpiBA Two-Component Signal Transduction System
PWY0-1500,EnvZ/OmpR Two-Component Signal Transduction System
PWY0-1501,BarA UvrY Two-Component Signal Transduction System
PWY0-1503,GlrKR Two-Component Signal Transduction System
PWY0-1505,"ArcAB Two-Component Signal Transduction System, quinone dependent"
PWY0-1506,"TorTSR Signal Transduction System, TMAO dependent"
PWY0-1507,biotin biosynthesis from 8-amino-7-oxononanoate I
PWY0-1509,NtrBC Two-Component Regulatory System
PWY0-1512,CusSR Two-Component Signal Transduction System
PWY0-1514,"NarQ Two-Component Signal Transduction System, nitrate dependent"
PWY0-1515,"NarX Two-Component Signal Transduction System, nitrate dependent"
PWY0-1517,sedoheptulose bisphosphate bypass
PWY0-1518,Chemotactic Two-Component Signal Transduction
PWY0-1519,Aerotactic Two-Component Signal Transduction System
PWY0-1533,methylphosphonate degradation I
PWY0-1535,D-serine degradation
PWY0-1544,proline to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1545,cardiolipin biosynthesis III
PWY0-1546,muropeptide degradation
PWY0-1550,PyrSR Two-Component Signal Transduction System
PWY0-1554,5-(methoxycarbonylmethoxy)uridine biosynthesis
PWY0-1559,BtsSR Two-Component Signal Transduction System
PWY0-1561,glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1565,D-lactate to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1567,NADH to cytochrome <i>bo</i> oxidase electron transfer II
PWY0-1568,NADH to cytochrome <i>bd</i> oxidase electron transfer II
PWY0-1569,autoinducer AI-2 degradation
PWY0-1573,nitrate reduction VIIIb (dissimilatory)
PWY0-1576,hydrogen to fumarate electron transfer
PWY0-1577,hydrogen to dimethyl sulfoxide electron transfer
PWY0-1578,hydrogen to trimethylamine N-oxide electron transfer
PWY0-1581,nitrate reduction IX (dissimilatory)
PWY0-1582,glycerol-3-phosphate to fumarate electron transfer
PWY0-1584,<i>sn</i>-glycerol 3-phosphate anaerobic respiration
PWY0-1585,formate to nitrite electron transfer
PWY0-1586,peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
PWY0-1587,N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
PWY0-1588,HprSR Two-Component Signal Transduction System
PWY0-1590,NADH to hydrogen peroxide electron transfer
PWY0-1591,glycerol-3-phosphate to hydrogen peroxide electron transport
PWY0-1597,prenylated FMNH<sub>2</sub> biosynthesis
PWY0-1599,periplasmic disulfide bond formation
PWY0-1600,periplasmic disulfide bond reduction
PWY0-1601,cadaverine biosynthesis
PWY0-1602,D-gulosides conversion to D-glucosides
PWY0-162,superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis
PWY0-163,salvage pathways of pyrimidine ribonucleotides
PWY0-166,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
PWY0-181,salvage pathways of pyrimidine deoxyribonucleotides
PWY0-301,"L-ascorbate degradation I (bacterial, anaerobic)"
PWY0-321,phenylacetate degradation I (aerobic)
PWY0-381,glycerol and glycerophosphodiester degradation
PWY0-41,allantoin degradation IV (anaerobic)
PWY0-42,2-methylcitrate cycle I
PWY0-43,conversion of succinate to propanoate
PWY0-44,D-allose degradation
PWY0-461,L-lysine degradation I
PWY0-501,lipoate biosynthesis and incorporation I
PWY0-521,fructoselysine and psicoselysine degradation
PWY0-781,aspartate superpathway
PWY0-823,L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY0-845,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
PWY0-862,(5Z)-dodecenoate biosynthesis I
PWY0-881,superpathway of fatty acid biosynthesis I (E. coli)
PWY0-901,L-selenocysteine biosynthesis I (bacteria)
PYRIDNUCSAL-PWY,NAD salvage pathway I (PNC VI cycle)
PYRIDNUCSYN-PWY,NAD <i>de novo</i> biosynthesis I
PYRIDOXSYN-PWY,pyridoxal 5'-phosphate biosynthesis I
PYRUVDEHYD-PWY,pyruvate decarboxylation to acetyl CoA I
RHAMCAT-PWY,L-rhamnose degradation I
RIBOKIN-PWY,ribose phosphorylation
RIBOSYN2-PWY,flavin biosynthesis I (bacteria and plants)
SALVADEHYPOX-PWY,adenosine nucleotides degradation II
SALVPURINE2-PWY,xanthine and xanthosine salvage
SERDEG-PWY,L-serine degradation
SO4ASSIM-PWY,assimilatory sulfate reduction I
TCA,TCA cycle I (prokaryotic)
TCA-GLYOX-BYPASS,superpathway of glyoxylate bypass and TCA
THIOREDOX-PWY,thioredoxin pathway
THISYN-PWY,superpathway of thiamine diphosphate biosynthesis I
THRDLCTCAT-PWY,L-threonine degradation III (to methylglyoxal)
THREOCAT-PWY,superpathway of L-threonine metabolism
THREONINE-DEG2-PWY,L-threonine degradation II
THRESYN-PWY,superpathway of L-threonine biosynthesis
TREDEGLOW-PWY,trehalose degradation I (low osmolarity)
TRESYN-PWY,trehalose biosynthesis I
TRNA-CHARGING-PWY,tRNA charging
TRPSYN-PWY,L-tryptophan biosynthesis
TRYPDEG-PWY,L-tryptophan degradation II (via pyruvate)
TYRSYN,L-tyrosine biosynthesis I
UBISYN-PWY,superpathway of ubiquinol-8 biosynthesis (early decarboxylation)
UDPNAGSYN-PWY,UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I
VALSYN-PWY,L-valine biosynthesis
XYLCAT-PWY,D-xylose degradation I
