id,desc
IPR001387,"Cro/C1-type, helix-turn-helix domain"
IPR001405,Uncharacterised protein family UPF0758
IPR001412,"Aminoacyl-tRNA synthetase, class I, conserved site"
IPR001431,"Peptidase M16, zinc-binding site"
IPR001433,Oxidoreductase FAD/NAD(P)-binding
IPR001437,"Transcription elongation factor, GreA/GreB, C-terminal"
IPR001444,"Flagellar basal body rod protein, N-terminal"
IPR001451,Hexapeptide repeat
IPR001453,MoaB/Mog domain
IPR001455,TusA-like domain
IPR001460,"Penicillin-binding protein, transpeptidase"
IPR001465,"Malate synthase, TIM barrel domain"
IPR001466,Beta-lactamase-related
IPR001478,PDZ domain
IPR001482,Type II/IV secretion system domain
IPR001492,Flagellin
IPR001497,"Methylated-DNA-[protein]-cysteine S-methyltransferase, active site"
IPR001501,"Nickel-dependent hydrogenase, large subunit"
IPR001509,NAD-dependent epimerase/dehydratase
IPR001516,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminal"
IPR001537,"tRNA/rRNA methyltransferase, SpoU type"
IPR001539,Peptidase U32
IPR001543,"Flagellar motor switch protein FliN-like, C-terminal domain"
IPR001544,Aminotransferase class IV
IPR001555,"Phosphoribosylglycinamide formyltransferase, active site"
IPR001567,Peptidase M3A/M3B catalytic domain
IPR001584,"Integrase, catalytic core"
IPR001585,Transaldolase/Fructose-6-phosphate aldolase
IPR001597,Aromatic amino acid beta-eliminating lyase/threonine aldolase
IPR001598,"Transposase, IS30, conserved site"
IPR001599,Alpha-2-macroglobulin
IPR001608,"Alanine racemase, N-terminal"
IPR001610,PAC motif
IPR001623,DnaJ domain
IPR001633,EAL domain
IPR001638,Solute-binding protein family 3/N-terminal domain of MltF
IPR001639,Type II secretion system protein GspC
IPR001646,Pentapeptide repeat
IPR001647,"DNA-binding HTH domain, TetR-type"
IPR001650,"Helicase, C-terminal domain-like"
IPR001661,"Glycoside hydrolase, family 37"
IPR001663,"Aromatic-ring-hydroxylating dioxygenase, alpha subunit"
IPR001670,"Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA"
IPR001678,SAM-dependent methyltransferase RsmB-F/NOP2-type domain
IPR001694,"NADH:ubiquinone oxidoreductase, subunit 1/F420H2 oxidoreductase subunit H"
IPR001697,Pyruvate kinase
IPR001702,"Porin, Gram-negative type"
IPR001709,Flavoprotein pyridine nucleotide cytochrome reductase
IPR001712,Type III secretion system FHIPEP
IPR001714,"Peptidase M24, methionine aminopeptidase"
IPR001719,AP endonuclease 2
IPR001732,"UDP-glucose/GDP-mannose dehydrogenase, N-terminal"
IPR001734,Sodium/solute symporter
IPR001736,Phospholipase D/Transphosphatidylase
IPR001750,"NADH:quinone oxidoreductase/Mrp antiporter, transmembrane domain"
IPR001753,Enoyl-CoA hydratase/isomerase
IPR001754,Orotidine 5'-phosphate decarboxylase domain
IPR001757,P-type ATPase
IPR001761,Periplasmic binding protein/LacI sugar binding domain
IPR001763,Rhodanese-like domain
IPR001764,"Glycoside hydrolase, family 3, N-terminal"
IPR001765,Carbonic anhydrase
IPR001775,GspD/PilQ family
IPR001789,"Signal transduction response regulator, receiver domain"
IPR001792,Acylphosphatase-like domain
IPR001801,DNA-binding protein H-NS-like
IPR001807,Chloride channel
IPR001821,"[NiFe]-hydrogenase, small subunit"
IPR001826,"RHS protein, conserved region"
IPR001829,"Pili assembly chaperone, bacterial"
IPR001845,HTH ArsR-type DNA-binding domain
IPR001851,"ABC transporter, permease"
IPR001867,OmpR/PhoB-type DNA-binding domain
IPR001897,"Porin, gammaproteobacterial"
IPR001898,Solute carrier family 13
IPR001900,Ribonuclease II/R
IPR001910,Inosine/uridine-preferring nucleoside hydrolase domain
IPR001915,Peptidase M48
IPR001917,"Aminotransferase, class-II, pyridoxal-phosphate binding site"
IPR001920,Asp/Glu racemase
IPR001926,"Tryptophan synthase beta chain-like, PALP domain"
IPR001927,Sodium:galactoside symporter
IPR001940,Peptidase S1C
IPR001943,UVR domain
IPR001967,"Peptidase S11, D-alanyl-D-alanine carboxypeptidase A, N-terminal"
IPR001972,Stomatin/HflK family
IPR001986,Enolpyruvate transferase domain
IPR001989,"Radical-activating enzyme, conserved site"
IPR001991,Sodium:dicarboxylate symporter
IPR001992,T2SS_GspF/T4SS_PilC conserved site
IPR001996,"Phosphotransferase system, IIB component, type 1"
IPR002020,Citrate synthase
IPR002035,"von Willebrand factor, type A"
IPR002052,"DNA methylase, N-6 adenine-specific, conserved site"
IPR002059,"Cold-shock protein Csp, DNA-binding"
IPR002068,Alpha crystallin/Hsp20 domain
IPR002078,RNA polymerase sigma factor 54 interaction domain
IPR002104,"Integrase, catalytic domain"
IPR002109,Glutaredoxin
IPR002110,Ankyrin repeat
IPR002114,"Phosphotransferase system, HPr serine phosphorylation site"
IPR002121,HRDC domain
IPR002123,Phospholipid/glycerol acyltransferase
IPR002125,Cytidine and deoxycytidylate deaminase domain
IPR002129,Pyridoxal phosphate-dependent decarboxylase
IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR002139,Ribokinase/fructokinase
IPR002142,Peptidase S49
IPR002145,"Ribbon-helix-helix protein, CopG"
IPR002150,Large ribosomal subunit protein bL31 type A/B
IPR002155,Thiolase
IPR002173,"Carbohydrate/purine kinase, PfkB, conserved site"
IPR002178,PTS EIIA type-2 domain
IPR002187,Nitrogen regulatory protein PII
IPR002196,"Glycoside hydrolase, family 24"
IPR002197,"DNA binding HTH domain, Fis-type"
IPR002201,"Glycosyl transferase, family 9"
IPR002204,"3-hydroxyisobutyrate dehydrogenase-related, conserved site"
IPR002205,"DNA topoisomerase, type IIA, domain A"
IPR002220,DapA-like
IPR002288,"DNA gyrase B subunit, C-terminal"
IPR002292,Ornithine/putrescine carbamoyltransferase
IPR002293,Amino acid/polyamine transporter I
IPR002300,"Aminoacyl-tRNA synthetase, class Ia"
IPR002305,"Aminoacyl-tRNA synthetase, class Ic"
IPR002312,"Aspartyl/Asparaginyl-tRNA synthetase, class IIb"
IPR002313,"Lysine-tRNA ligase, class II"
IPR002314,"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)"
IPR002328,"Alcohol dehydrogenase, zinc-type, conserved site"
IPR002332,"Nitrogen regulatory protein P-II, urydylation site"
IPR002346,"Molybdopterin dehydrogenase, FAD-binding"
IPR002347,Short-chain dehydrogenase/reductase SDR
IPR002372,Pyrrolo-quinoline quinone repeat domain
IPR002376,"Formyl transferase, N-terminal"
IPR002421,5'-3' exonuclease
IPR002477,Peptidoglycan binding-like
IPR002478,PUA domain
IPR002481,Ferric-uptake regulator
IPR002491,ABC transporter periplasmic binding domain
IPR002495,"Glycosyl transferase, family 8"
IPR002500,Phosphoadenosine phosphosulphate reductase domain
IPR002502,N-acetylmuramoyl-L-alanine amidase domain
IPR002505,Phosphate acetyl/butaryl transferase
IPR002508,"N-acetylmuramoyl-L-alanine amidase, catalytic domain"
IPR002509,NodB homology domain
IPR002510,"Metalloprotease TldD/E, N-terminal domain"
IPR002514,Transposase IS3/IS911family
IPR002523,"Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB"
IPR002524,Cation efflux
IPR002528,Multi antimicrobial extrusion protein
IPR002541,Cytochrome c assembly protein
IPR002545,CheW-like domain
IPR002547,tRNA-binding domain
IPR002549,Transmembrane protein TqsA-like
IPR002550,"CNNM, transmembrane domain"
IPR002559,Transposase IS4-like domain
IPR002562,3'-5' exonuclease domain
IPR002563,Flavin reductase like domain
IPR002575,Aminoglycoside phosphotransferase
IPR002585,Cytochrome ubiquinol oxidase subunit 1
IPR002611,IstB-like ATP-binding domain
IPR002625,Smr domain
IPR002634,BolA protein
IPR002641,Patatin-like phospholipase domain
IPR002645,STAS domain
IPR002646,"Poly A polymerase, head domain"
IPR002656,Acyltransferase 3 domain
IPR002668,Concentrative nucleoside transporter N-terminal domain
IPR002701,"Chorismate mutase II, prokaryotic-type"
IPR002711,HNH endonuclease
IPR002771,Multiple antibiotic resistance (MarC)-related
IPR002792,TRAM domain
IPR002797,Polysaccharide biosynthesis protein
IPR002818,DJ-1/PfpI
IPR002876,Transcriptional regulator TACO1-like
IPR002877,"Ribosomal RNA methyltransferase, FtsJ domain"
IPR002888,[2Fe-2S]-binding
IPR002890,Macroglobulin domain
IPR002898,MotA/TolQ/ExbB proton channel
IPR002901,Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain
IPR002912,ACT domain
IPR002915,DeoC/FbaB/LacD aldolase
IPR002925,Dienelactone hydrolase
IPR002933,Peptidase M20
IPR002938,FAD-binding domain
IPR002939,"Chaperone DnaJ, C-terminal"
IPR002942,RNA-binding S4 domain
IPR003004,GspF/PilC family
IPR003010,Carbon-nitrogen hydrolase
IPR003016,"2-oxo acid dehydrogenase, lipoyl-binding site"
IPR003018,GAF domain
IPR003029,S1 domain
IPR003033,SCP2 sterol-binding domain
IPR003115,"ParB-like, N-terminal domain"
IPR003122,"Chemotaxis methyl-accepting receptor Tar-related, ligand-binding"
IPR003135,"ATP-grasp fold, ATP-dependent carboxylate-amine ligase-type"
IPR003141,"Polymerase/histidinol phosphatase, N-terminal"
IPR003148,"Regulator of K+ conductance, N-terminal lobe"
IPR003156,DHHA1 domain
IPR003192,"Porin, LamB-type"
IPR003220,InsA N-terminal zinc ribbon domain
IPR003265,HhH-GPD domain
IPR003313,AraC-type arabinose-binding/dimerisation domain
IPR003317,Cytochrome ubiquinol oxidase subunit 2
IPR003352,"Phosphotransferase system, EIIC"
IPR003353,"Phosphotransferase system, fructose-specific IIB subunit"
IPR003369,Sec-independent protein translocase protein TatA/B/E
IPR003382,Flavoprotein
IPR003395,"RecF/RecN/SMC, N-terminal"
IPR003399,Mce/MlaD
IPR003400,Biopolymer transport protein ExbD/TolR
IPR003423,Outer membrane efflux protein
IPR003439,"ABC transporter-like, ATP-binding domain"
IPR003445,Cation transporter
IPR003458,"Bacteriophage T4, Gp38, tail fibre assembly"
IPR003474,Gluconate transporter
IPR003477,mRNA interferase PemK-like
IPR003489,Ribosome hibernation promoting factor/RaiA
IPR003495,"CobW/HypB/UreG, nucleotide-binding domain"
IPR003501,"Phosphotransferase system, EIIB component, type 2/3"
IPR003535,Intimin/invasin bacterial adhesion mediator protein
IPR003567,Cytochrome c-type biogenesis protein
IPR003568,Cytochrome c-type biogenesis protein CcmF
IPR003583,"Helix-hairpin-helix DNA-binding motif, class 1"
IPR003593,AAA+ ATPase domain
IPR003601,"DNA topoisomerase, type IA, domain 2"
IPR003602,"DNA topoisomerase, type IA, DNA-binding domain"
IPR003607,HD/PDEase domain
IPR003615,HNH nuclease
IPR003651,"Endonuclease III-like, iron-sulphur cluster loop motif"
IPR003660,HAMP domain
IPR003661,"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"
IPR003663,Sugar/inositol transporter
IPR003667,NqrDE/RnfAE
IPR003673,CoA-transferase family III
IPR003680,Flavodoxin-like fold
IPR003695,"Ppx/GppA phosphatase, N-terminal"
IPR003697,Nucleoside triphosphate pyrophosphatase Maf-like protein
IPR003706,"CstA, N-terminal domain"
IPR003714,PhoH-like protein
IPR003715,"Polysaccharide export protein, N-terminal domain"
IPR003718,OsmC/Ohr family
IPR003726,Homocysteine-binding domain
IPR003735,Metal-sensitive transcriptional repressor
IPR003736,Phenylacetic acid degradation-related domain
IPR003741,LUD domain
IPR003749,Sulfur carrier ThiS/MoaD-like
IPR003765,"Nitrate reductase chaperone, NarJ"
IPR003767,Malate/L-lactate dehydrogenase-like
IPR003777,XdhC- CoxI
IPR003781,CoA-binding
IPR003787,"Sulphur relay, DsrE/F-like"
IPR003804,L-lactate permease
IPR003807,Domain of unknown function DUF202
IPR003808,"Fe-S metabolism associated domain, SufE-like"
IPR003816,"Nitrate reductase, gamma subunit"
IPR003829,"Pirin, N-terminal domain"
IPR003838,"ABC3 transporter permease, C-terminal"
IPR003848,Domain of unknown function DUF218
IPR003856,"Polysaccharide chain length determinant, N-terminal domain"
IPR003918,NADH:ubiquinone oxidoreductase
IPR003945,"NADH-quinone oxidoreductase, chain 5-like"
IPR003952,"Fumarate reductase/succinate dehydrogenase, FAD-binding site"
IPR003953,"FAD-dependent oxidoreductase 2, FAD-binding domain"
IPR003959,"ATPase, AAA-type, core"
IPR003964,Carbamate kinase
IPR003991,Pertactin virulence factor family
IPR004013,PHP domain
IPR004017,Cysteine-rich domain
IPR004027,SEC-C motif
IPR004035,"Endonuclease III, iron-sulphur binding site"
IPR004036,"Endonuclease III-like, conserved site-2"
IPR004044,"K Homology domain, type 2"
IPR004045,"Glutathione S-transferase, N-terminal"
IPR004046,"Glutathione S-transferase, C-terminal"
IPR004087,K Homology domain
IPR004089,Methyl-accepting chemotaxis protein (MCP) signalling domain
IPR004090,Chemotaxis methyl-accepting receptor
IPR004091,"Chemotaxis methyl-accepting receptor, methyl-accepting site"
IPR004095,TGS
IPR004099,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
IPR004100,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"
IPR004101,"Mur ligase, C-terminal"
IPR004104,"Gfo/Idh/MocA-like oxidoreductase, C-terminal"
IPR004107,"Integrase, SAM-like, N-terminal"
IPR004113,"FAD-binding oxidoreductase/transferase, type 4, C-terminal"
IPR004114,THUMP domain
IPR004143,"Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain"
IPR004150,"NAD-dependent DNA ligase, OB-fold"
IPR004154,Anticodon-binding
IPR004160,"Translation elongation factor EFTu/EF1A, C-terminal"
IPR004161,"Translation elongation factor EFTu-like, domain 2"
IPR004165,Coenzyme A transferase family I
IPR004167,Peripheral subunit-binding domain
IPR004176,"Clp, repeat (R) N-terminal domain"
IPR004183,"Extradiol ring-cleavage dioxygenase, class III enzyme, subunit B"
IPR004184,Pyruvate formate lyase domain
IPR004193,"Glycoside hydrolase, family 13, N-terminal"
IPR004199,Beta galactosidase small chain/ domain 5
IPR004216,"L-fucose/L-arabinose isomerase, C-terminal"
IPR004358,"Signal transduction histidine kinase-related protein, C-terminal"
IPR004360,Glyoxalase/fosfomycin resistance/dioxygenase domain
IPR004364,"Aminoacyl-tRNA synthetase, class II (D/K/N)"
IPR004365,"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type"
IPR004372,Acetate/propionate kinase
IPR004375,NanQ anomerase/TabA/YiaL family
IPR004381,Glycerate kinase
IPR004384,RNA methyltransferase TrmJ/LasT
IPR004385,Nucleoside diphosphate pyrophosphatase
IPR004419,"Peptidase A31, hydrogenase expression/formation protein"
IPR004441,RNA methyltransferase TrmH
IPR004464,"Fructose-1,6-bisphosphatase class 2/Sedoheputulose-1,7-bisphosphatase"
IPR004472,Dethiobiotin synthase BioD
IPR004476,Ribonuclease II/ribonuclease R
IPR004489,Succinate dehydrogenase/fumarate reductase iron-sulphur protein
IPR004541,"Translation elongation factor EFTu/EF1A, bacterial/organelle"
IPR004547,Glucosamine-6-phosphate isomerase
IPR004556,Methyltransferase HemK-like
IPR004560,L-ribulose-5-phosphate 3-epimerase
IPR004561,Isochorismate synthase
IPR004606,Molybdenum-pterin binding domain
IPR004614,Phosphate acetyltransferase
IPR004625,Pyridoxine kinase
IPR004632,"4-aminobutyrate aminotransferase, bacterial"
IPR004636,Acetylornithine/Succinylornithine transaminase family
IPR004638,Drug resistance transporter EmrB-like
IPR004644,Iron-sulphur-dependent L-serine dehydratase single chain form
IPR004646,"Fe-S hydro-lyase, tartrate dehydratase alpha-type, catalytic domain"
IPR004647,"Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain"
IPR004658,Outer membrane lipoprotein Slp
IPR004659,Ribonuclease E/G
IPR004661,L-ribulose-5-phosphate 4-epimerase
IPR004668,Anaerobic c4-dicarboxylate membrane transporter
IPR004669,C4-dicarboxylate anaerobic carrier
IPR004680,Citrate transporter-like domain
IPR004694,Hydroxy amino acid transporter
IPR004700,"Phosphotransferase system, mannose/fructose/sorbose family, IIC subunit"
IPR004701,"Phosphotransferase system, mannose-type IIA component"
IPR004703,"Phosphotransferase system, sugar-specific permease component"
IPR004704,"Phosphotransferase system, mannose/fructose/sorbose family IID component"
IPR004715,"Phosphotransferase system, IIA component fructose subfamily"
IPR004718,"Phosphotransferase system, mannitol-specific enzyme IIC"
IPR004719,"Phosphotransferase system, maltose/glucose-specific subfamily IIC component"
IPR004720,"Phosphotransferase system, sorbose subfamily IIB component"
IPR004730,Transaldolase type 1
IPR004731,Transaldolase type 3B/Fructose-6-phosphate aldolase
IPR004734,IPR004734
IPR004736,"MFS transporter, metabolite:H symporter"
IPR004737,Nitrate transporter NarK/NarU-like
IPR004740,Nucleoside:H+ symporter
IPR004747,Cyanate transport protein CynX-like
IPR004750,Sugar efflux
IPR004754,Amino acid antiporter
IPR004764,Multidrug resistance protein MdtF-like
IPR004771,K+/H+ exchanger
IPR004772,TrkH potassium transport family
IPR004778,Homoserine/Threonine efflux protein
IPR004779,Carboxylate/Amino Acid/Amine Transporter
IPR004789,"Acetolactate synthase, small subunit"
IPR004800,"Phosphosugar isomerase, KdsD/KpsF-type"
IPR004811,RelA/SpoT family
IPR004812,Drug resistance transporter Bcr/CmlA subfamily
IPR004821,Cytidyltransferase-like domain
IPR004837,Sodium/calcium exchanger membrane region
IPR004838,"Aminotransferases, class-I, pyridoxal-phosphate-binding site"
IPR004839,"Aminotransferase, class I/classII, large domain"
IPR004840,"Amino acid permease, conserved site"
IPR004841,Amino acid permease/ SLC12A domain
IPR004843,"Calcineurin-like, phosphoesterase domain"
IPR004845,"Type II secretion system protein GspD, conserved site"
IPR004846,"Type II/III secretion system, secretin-like domain"
IPR004872,Lipoprotein NlpA family
IPR004899,"Pertactin, central region"
IPR004914,Antirestriction protein
IPR004929,"Spanin, inner membrane subunit"
IPR004960,Bacterial lipid A biosynthesis acyltransferase
IPR005000,HpcH/HpaI aldolase/citrate lyase domain
IPR005003,"Bacteriophage lambda, Tail fiber protein, repeat-1"
IPR005025,NADPH-dependent FMN reductase-like domain
IPR005063,"Transposase, IS1"
IPR005106,"Aspartate/homoserine dehydrogenase, NAD-binding"
IPR005107,"CO dehydrogenase flavoprotein, C-terminal"
IPR005115,Glycine transporter
IPR005116,"Transport-associated OB, type 1"
IPR005117,Nitrite/Sulfite reductase ferredoxin-like domain
IPR005119,"LysR, substrate-binding"
IPR005122,Uracil-DNA glycosylase-like
IPR005123,Oxoglutarate/iron-dependent dioxygenase domain
IPR005126,"NapC/NirT cytochrome c, N-terminal"
IPR005130,"Serine dehydratase-like, alpha subunit"
IPR005131,Serine dehydratase beta chain
IPR005135,Endonuclease/exonuclease/phosphatase
IPR005139,Peptide chain release factor
IPR005144,ATP-cone domain
IPR005170,Transporter-associated domain
IPR005219,"Intermembrane transport protein PqiA-like, proteobacteria"
IPR005220,Calcium-regulated OB-fold protein CarO-like
IPR005225,Small GTP-binding domain
IPR005247,YbhB/YbcL/LppC-like
IPR005272,Protein of unknown function DUF406
IPR005279,Dipeptide/tripeptide permease
IPR005302,"Molybdenum cofactor sulfurase, C-terminal"
