PMID	title	year	journal	authors
13129944	Genome-wide analyses revealing a signaling network of the RcsC-YojN-RcsB phosphorelay system in Escherichia coli.	2003	J Bacteriol	Hagiwara D, Sugiura M, Oshima T, Mori H, Aiba H, Yamashino T, Mizuno T
15808744	Enzyme genomics: Application of general enzymatic screens to discover new enzymes.	2005	FEMS Microbiol Rev	Kuznetsova E, Proudfoot M, Sanders SA, Reinking J, Savchenko A, Arrowsmith CH, Edwards AM, Yakunin AF
9868784	Small genes/gene-products in Escherichia coli K-12.	1998	FEMS Microbiol Lett	Wasinger VC, Humphery-Smith I
16417522	Nitric oxide-sensing mechanisms in Escherichia coli.	2006	Biochem Soc Trans	Spiro S
8246840	Phosphoenolpyruvate:carbohydrate phosphotransferase systems of bacteria.	1993	Microbiol Rev	Postma PW, Lengeler JW, Jacobson GR
16079137	Protein complexes of the Escherichia coli cell envelope.	2005	J Biol Chem	Stenberg F, Chovanec P, Maslen SL, Robinson CV, Ilag LL, von Heijne G, Daley DO
24580753	Inferring gene function from evolutionary change in signatures of translation efficiency.	2014	Genome Biol	Krisko A, Copic T, Gabaldón T, Lehner B, Supek F
11514505	DNA microarray-based identification of genes controlled by autoinducer 2-stimulated quorum sensing in Escherichia coli.	2001	J Bacteriol	DeLisa MP, Wu CF, Wang L, Valdes JJ, Bentley WE
17400245	Energetics-based protein profiling on a proteomic scale: identification of proteins resistant to proteolysis.	2007	J Mol Biol	Park C, Zhou S, Gilmore J, Marqusee S
14727089	Gene expression in Escherichia coli biofilms.	2004	Appl Microbiol Biotechnol	Ren D, Bedzyk LA, Thomas SM, Ye RW, Wood TK
15289551	Effects of mutations in the rpoS gene on cell viability and global gene expression under nitrogen starvation in Escherichia coli.	2004	Microbiology (Reading)	Kabir MS, Sagara T, Oshima T, Kawagoe Y, Mori H, Tsunedomi R, Yamada M
17224607	The Crl-RpoS regulon of Escherichia coli.	2007	Mol Cell Proteomics	Lelong C, Aguiluz K, Luche S, Kuhn L, Garin J, Rabilloud T, Geiselmann J
12952533	An expanded genome-scale model of Escherichia coli K-12 (iJR904 GSM/GPR).	2003	Genome Biol	Reed JL, Vo TD, Schilling CH, Palsson BO
18287020	Quantifying changes in the thiol redox proteome upon oxidative stress in vivo.	2008	Proc Natl Acad Sci U S A	Leichert LI, Gehrke F, Gudiseva HV, Blackwell T, Ilbert M, Walker AK, Strahler JR, Andrews PC, Jakob U
12045108	Lipopolysaccharide endotoxins.	2002	Annu Rev Biochem	Raetz CR, Whitfield C
12618449	Comprehensive studies of drug resistance mediated by overexpression of response regulators of two-component signal transduction systems in Escherichia coli.	2003	J Bacteriol	Hirakawa H, Nishino K, Hirata T, Yamaguchi A
7567469	Detection of new genes in a bacterial genome using Markov models for three gene classes.	1995	Nucleic Acids Res	Borodovsky M, McIninch JD, Koonin EV, Rudd KE, Médigue C, Danchin A
9600841	Protein identification with N and C-terminal sequence tags in proteome projects.	1998	J Mol Biol	Wilkins MR, Gasteiger E, Tonella L, Ou K, Tyler M, Sanchez JC, Gooley AA, Walsh BJ, Bairoch A, Appel RD, Williams KL, Hochstrasser DF
15757896	The global transcriptional response of Escherichia coli to induced sigma 32 protein involves sigma 32 regulon activation followed by inactivation and degradation of sigma 32 in vivo.	2005	J Biol Chem	Zhao K, Liu M, Burgess RR
11566977	Analysis of a complete library of putative drug transporter genes in Escherichia coli.	2001	J Bacteriol	Nishino K, Yamaguchi A
24140104	Comparison of the large-scale periplasmic proteomes of the Escherichia coli K-12 and B strains.	2014	J Biosci Bioeng	Han MJ, Kim JY, Kim JA
16272117	Structures of the bacterial ribosome at 3.5 A resolution.	2005	Science	Schuwirth BS, Borovinskaya MA, Hau CW, Zhang W, Vila-Sanjurjo A, Holton JM, Cate JH
15380559	Scanning the Escherichia coli chromosome by random transposon mutagenesis and multiple phenotypic screening.	2004	Res Microbiol	Serina S, Nozza F, Nicastro G, Faggioni F, Mottl H, Dehò G, Polissi A
19696352	Structures of the ribosome in intermediate states of ratcheting.	2009	Science	Zhang W, Dunkle JA, Cate JH
9740056	'98 Escherichia coli SWISS-2DPAGE database update.	1998	Electrophoresis	Tonella L, Walsh BJ, Sanchez JC, Ou K, Wilkins MR, Tyler M, Frutiger S, Gooley AA, Pescaru I, Appel RD, Yan JX, Bairoch A, Hoogland C, Morch FS, Hughes GJ, Williams KL, Hochstrasser DF
10094780	Observation of Escherichia coli ribosomal proteins and their posttranslational modifications by mass spectrometry.	1999	Anal Biochem	Arnold RJ, Reilly JP
19913480	Regulation of the protein-conducting channel by a bound ribosome.	2009	Structure	Gumbart J, Trabuco LG, Schreiner E, Villa E, Schulten K
22157000	YajL, prokaryotic homolog of parkinsonism-associated protein DJ-1, functions as a covalent chaperone for thiol proteome.	2012	J Biol Chem	Le HT, Gautier V, Kthiri F, Malki A, Messaoudi N, Mihoub M, Landoulsi A, An YJ, Cha SS, Richarme G
15883881	Comparison of the PhoPQ regulon in Escherichia coli and Salmonella typhimurium.	2005	J Mol Evol	Monsieurs P, De Keersmaecker S, Navarre WW, Bader MW, De Smet F, McClelland M, Fang FC, De Moor B, Vanderleyden J, Marchal K
10734204	The repertoire of DNA-binding transcriptional regulators in Escherichia coli K-12.	2000	Nucleic Acids Res	Pérez-Rueda E, Collado-Vides J
16336047	Conserved and variable functions of the sigmaE stress response in related genomes.	2006	PLoS Biol	Rhodius VA, Suh WC, Nonaka G, West J, Gross CA
12192075	The beta-barrel finder (BBF) program, allowing identification of outer membrane beta-barrel proteins encoded within prokaryotic genomes.	2002	Protein Sci	Zhai Y, Saier MH
8202364	Systematic sequencing of the Escherichia coli genome: analysis of the 2.4-4.1 min (110,917-193,643 bp) region.	1994	Nucleic Acids Res	Fujita N, Mori H, Yura T, Ishihama A
8789466	A family of homologous substrate-binding proteins with a broad range of substrate specificity and dissimilar biological functions.	1995	Biochimie	Wu LF, Mandrand-Berthelot MA
17543954	Genome-wide screening of genes affecting glycogen metabolism in Escherichia coli K-12.	2007	FEBS Lett	Eydallin G, Viale AM, Morán-Zorzano MT, Muñoz FJ, Montero M, Baroja-Fernández E, Pozueta-Romero J
9873074	Getting in or out: early segregation between importers and exporters in the evolution of ATP-binding cassette (ABC) transporters.	1999	J Mol Evol	Saurin W, Hofnung M, Dassa E
7984428	Intrinsic and extrinsic approaches for detecting genes in a bacterial genome.	1994	Nucleic Acids Res	Borodovsky M, Rudd KE, Koonin EV
12897016	Phenotype microarray analysis of Escherichia coli K-12 mutants with deletions of all two-component systems.	2003	J Bacteriol	Zhou L, Lei XH, Bochner BR, Wanner BL
12900028	Systematic characterization of Escherichia coli genes/ORFs affecting biofilm formation.	2003	FEMS Microbiol Lett	Tenorio E, Saeki T, Fujita K, Kitakawa M, Baba T, Mori H, Isono K
16820464	Generating tetracycline-inducible auxotrophy in Escherichia coli and Salmonella enterica serovar Typhimurium by using an insertion element and a hyperactive transposase.	2006	Appl Environ Microbiol	Köstner M, Schmidt B, Bertram R, Hillen W
10493123	Enrichment of low abundance proteins of Escherichia coli by hydroxyapatite chromatography.	1999	Electrophoresis	Fountoulakis M, Takács MF, Berndt P, Langen H, Takács B
27718375	Screen for genes involved in radiation survival of Escherichia coli and construction of a reference database.	2016	Mutat Res	Sargentini NJ, Gularte NP, Hudman DA
1379743	Analysis of the Escherichia coli genome: DNA sequence of the region from 84.5 to 86.5 minutes.	1992	Science	Daniels DL, Plunkett G, Burland V, Blattner FR
17222132	Temporal gene-expression in Escherichia coli K-12 biofilms.	2007	Environ Microbiol	Domka J, Lee J, Bansal T, Wood TK
12366850	Transcriptome analysis of all two-component regulatory system mutants of Escherichia coli K-12.	2002	Mol Microbiol	Oshima T, Aiba H, Masuda Y, Kanaya S, Sugiura M, Wanner BL, Mori H, Mizuno T
10943556	The major facilitator superfamily.	1999	J Mol Microbiol Biotechnol	Saier MH, Beatty JT, Goffeau A, Harley KT, Heijne WH, Huang SC, Jack DL, Jähn PS, Lew K, Liu J, Pao SS, Paulsen IT, Tseng TT, Virk PS
15004283	Proteomic analysis of thioredoxin-targeted proteins in Escherichia coli.	2004	Proc Natl Acad Sci U S A	Kumar JK, Tabor S, Richardson CC
16842212	Microbial drug efflux proteins of the major facilitator superfamily.	2006	Curr Drug Targets	Saidijam M, Benedetti G, Ren Q, Xu Z, Hoyle CJ, Palmer SL, Ward A, Bettaney KE, Szakonyi G, Meuller J, Morrison S, Pos MK, Butaye P, Walravens K, Langton K, Herbert RB, Skurray RA, Paulsen IT, O'reilly J, Rutherford NG, Brown MH, Bill RM, Henderson PJ
8438231	A major superfamily of transmembrane facilitators that catalyse uniport, symport and antiport.	1993	Trends Biochem Sci	Marger MD, Saier MH
15215418	BOMP: a program to predict integral beta-barrel outer membrane proteins encoded within genomes of Gram-negative bacteria.	2004	Nucleic Acids Res	Berven FS, Flikka K, Jensen HB, Eidhammer I
1630901	Systematic sequencing of the Escherichia coli genome: analysis of the 0-2.4 min region.	1992	Nucleic Acids Res	Yura T, Mori H, Nagai H, Nagata T, Ishihama A, Fujita N, Isono K, Mizobuchi K, Nakata A
9529885	Major facilitator superfamily.	1998	Microbiol Mol Biol Rev	Pao SS, Paulsen IT, Saier MH
18852508	The diversity of lysine-acetylated proteins in Escherichia coli.	2008	J Microbiol Biotechnol	Yu BJ, Kim JA, Moon JH, Ryu SE, Pan JG
19121005	Small membrane proteins found by comparative genomics and ribosome binding site models.	2008	Mol Microbiol	Hemm MR, Paul BJ, Schneider TD, Storz G, Rudd KE
8346018	Analysis of the Escherichia coli genome. III. DNA sequence of the region from 87.2 to 89.2 minutes.	1993	Nucleic Acids Res	Plunkett G, Burland V, Daniels DL, Blattner FR
11917006	Comparative genomics and evolution of proteins involved in RNA metabolism.	2002	Nucleic Acids Res	Anantharaman V, Koonin EV, Aravind L
18824089	Systems based mapping demonstrates that recovery from alkylation damage requires DNA repair, RNA processing, and translation associated networks.	2009	Genomics	Rooney JP, George AD, Patil A, Begley U, Bessette E, Zappala MR, Huang X, Conklin DS, Cunningham RP, Begley TJ
9593292	The Escherichia coli ATP-binding cassette (ABC) proteins.	1998	Mol Microbiol	Linton KJ, Higgins CF
11574054	A functional update of the Escherichia coli K-12 genome.	2001	Genome Biol	Serres MH, Gopal S, Nahum LA, Liang P, Gaasterland T, Riley M
18304323	Protein abundance profiling of the Escherichia coli cytosol.	2008	BMC Genomics	Ishihama Y, Schmidt T, Rappsilber J, Mann M, Hartl FU, Kerner MJ, Frishman D
15919996	Global topology analysis of the Escherichia coli inner membrane proteome.	2005	Science	Daley DO, Rapp M, Granseth E, Melén K, Drew D, von Heijne G
16120447	Experimentally constrained topology models for 51,208 bacterial inner membrane proteins.	2005	J Mol Biol	Granseth E, Daley DO, Rapp M, Melén K, von Heijne G
16606699	Large-scale identification of protein-protein interaction of Escherichia coli K-12.	2006	Genome Res	Arifuzzaman M, Maeda M, Itoh A, Nishikata K, Takita C, Saito R, Ara T, Nakahigashi K, Huang HC, Hirai A, Tsuzuki K, Nakamura S, Altaf-Ul-Amin M, Oshima T, Baba T, Yamamoto N, Kawamura T, Ioka-Nakamichi T, Kitagawa M, Tomita M, Kanaya S, Wada C, Mori H
16381841	TCDB: the Transporter Classification Database for membrane transport protein analyses and information.	2006	Nucleic Acids Res	Saier MH, Tran CV, Barabote RD
15911532	Localization, annotation, and comparison of the Escherichia coli K-12 proteome under two states of growth.	2005	Mol Cell Proteomics	Lopez-Campistrous A, Semchuk P, Burke L, Palmer-Stone T, Brokx SJ, Broderick G, Bottorff D, Bolch S, Weiner JH, Ellison MJ
15690043	Interaction network containing conserved and essential protein complexes in Escherichia coli.	2005	Nature	Butland G, Peregrín-Alvarez JM, Li J, Yang W, Yang X, Canadien V, Starostine A, Richards D, Beattie B, Krogan N, Davey M, Parkinson J, Greenblatt J, Emili A
17187058	Absolute protein expression profiling estimates the relative contributions of transcriptional and translational regulation.	2007	Nat Biotechnol	Lu P, Vogel C, Wang R, Yao X, Marcotte EM
16738554	Construction of Escherichia coli K-12 in-frame, single-gene knockout mutants: the Keio collection.	2006	Mol Syst Biol	Baba T, Ara T, Hasegawa M, Takai Y, Okumura Y, Baba M, Datsenko KA, Tomita M, Wanner BL, Mori H
16858726	A complexomic study of Escherichia coli using two-dimensional blue native/SDS polyacrylamide gel electrophoresis.	2006	Electrophoresis	Lasserre JP, Beyne E, Pyndiah S, Lapaillerie D, Claverol S, Bonneu M
17122336	Genome-wide screening of genes required for swarming motility in Escherichia coli K-12.	2007	J Bacteriol	Inoue T, Shingaki R, Hirose S, Waki K, Mori H, Fukui K
7610040	Analysis of the Escherichia coli genome VI: DNA sequence of the region from 92.8 through 100 minutes.	1995	Nucleic Acids Res	Burland V, Plunkett G, Sofia HJ, Daniels DL, Blattner FR
17309111	Comparison of SDS- and methanol-assisted protein solubilization and digestion methods for Escherichia coli membrane proteome analysis by 2-D LC-MS/MS.	2007	Proteomics	Zhang N, Chen R, Young N, Wishart D, Winter P, Weiner JH, Li L
9097040	A 460-kb DNA sequence of the Escherichia coli K-12 genome corresponding to the 40.1-50.0 min region on the linkage map.	1996	DNA Res	Itoh T, Aiba H, Baba T, Hayashi K, Inada T, Isono K, Kasai H, Kimura S, Kitakawa M, Kitagawa M, Makino K, Miki T, Mizobuchi K, Mori H, Mori T, Motomura K, Nakade S, Nakamura Y, Nashimoto H, Nishio Y, Oshima T, Saito N, Sampei G, Seki Y, Horiuchi T
8905232	A 718-kb DNA sequence of the Escherichia coli K-12 genome corresponding to the 12.7-28.0 min region on the linkage map.	1996	DNA Res	Oshima T, Aiba H, Baba T, Fujita K, Hayashi K, Honjo A, Ikemoto K, Inada T, Itoh T, Kajihara M, Kanai K, Kashimoto K, Kimura S, Kitagawa M, Makino K, Masuda S, Miki T, Mizobuchi K, Mori H, Motomura K, Nakamura Y, Nashimoto H, Nishio Y, Saito N, Horiuchi T
9298646	Comparing the predicted and observed properties of proteins encoded in the genome of Escherichia coli K-12.	1997	Electrophoresis	Link AJ, Robison K, Church GM
12368244	Factors influencing the identification of transcription factor binding sites by cross-species comparison.	2002	Genome Res	McCue LA, Thompson W, Carmack CS, Lawrence CE
12627170	Identification of co-regulated genes through Bayesian clustering of predicted regulatory binding sites.	2003	Nat Biotechnol	Qin ZS, McCue LA, Thompson W, Mayerhofer L, Lawrence CE, Liu JS
12886937	Prophages and bacterial genomics: what have we learned so far?	2003	Mol Microbiol	Casjens S
16849790	Global analysis of candidate genes important for fitness in a competitive biofilm using DNA-array-based transposon mapping.	2006	Microbiology (Reading)	Junker LM, Peters JE, Hay AG
8041620	Analysis of the Escherichia coli genome. V. DNA sequence of the region from 76.0 to 81.5 minutes.	1994	Nucleic Acids Res	Sofia HJ, Burland V, Daniels DL, Plunkett G, Blattner FR
15852340	Proteome analysis of Escherichia coli using high-performance liquid chromatography and Fourier transform ion cyclotron resonance mass spectrometry.	2005	Proteomics	Ihling C, Sinz A
12876315	Prediction of lipoprotein signal peptides in Gram-negative bacteria.	2003	Protein Sci	Juncker AS, Willenbrock H, Von Heijne G, Brunak S, Nielsen H, Krogh A
15174130	Fine-tuning the prediction of sequences cleaved by signal peptidase II: a curated set of proven and predicted lipoproteins of Escherichia coli K-12.	2004	Proteomics	Gonnet P, Rudd KE, Lisacek F
9097039	A 570-kb DNA sequence of the Escherichia coli K-12 genome corresponding to the 28.0-40.1 min region on the linkage map.	1996	DNA Res	Aiba H, Baba T, Hayashi K, Inada T, Isono K, Itoh T, Kasai H, Kashimoto K, Kimura S, Kitakawa M, Kitagawa M, Makino K, Miki T, Mizobuchi K, Mori H, Mori T, Motomura K, Nakade S, Nakamura Y, Nashimoto H, Nishio Y, Oshima T, Saito N, Sampei G, Horiuchi T
11967071	Over 1000 genes are involved in the DNA damage response of Escherichia coli.	2002	Mol Microbiol	Khil PP, Camerini-Otero RD
8265357	Analysis of the Escherichia coli genome. IV. DNA sequence of the region from 89.2 to 92.8 minutes.	1993	Nucleic Acids Res	Blattner FR, Burland V, Plunkett G, Sofia HJ, Daniels DL
16381862	MEROPS: the peptidase database.	2006	Nucleic Acids Res	Rawlings ND, Morton FR, Barrett AJ
17366475	From the genome sequence to the proteome and back: evaluation of E. coli genome annotation with a 2-D gel-based proteomics approach.	2007	Proteomics	Maillet I, Berndt P, Malo C, Rodriguez S, Brunisholz RA, Pragai Z, Arnold S, Langen H, Wyss M
7686882	DNA sequence and analysis of 136 kilobases of the Escherichia coli genome: organizational symmetry around the origin of replication.	1993	Genomics	Burland V, Plunkett G, Daniels DL, Blattner FR
17012394	Experimental and computational assessment of conditionally essential genes in Escherichia coli.	2006	J Bacteriol	Joyce AR, Reed JL, White A, Edwards R, Osterman A, Baba T, Mori H, Lesely SA, Palsson BØ, Agarwalla S
17456747	Cell-free complements in vivo expression of the E. coli membrane proteome.	2007	Protein Sci	Savage DF, Anderson CL, Robles-Colmenares Y, Newby ZE, Stroud RM
27510400	Membranome: a database for proteome-wide analysis of single-pass membrane proteins.	2017	Nucleic Acids Res	Lomize AL, Lomize MA, Krolicki SR, Pogozheva ID
15556475	Phylogenetic distribution of DNA-binding transcription factors in bacteria and archaea.	2004	Comput Biol Chem	Pérez-Rueda E, Collado-Vides J, Segovia L
19402753	Global functional atlas of Escherichia coli encompassing previously uncharacterized proteins.	2009	PLoS Biol	Hu P, Janga SC, Babu M, Díaz-Mejía JJ, Butland G, Yang W, Pogoutse O, Guo X, Phanse S, Wong P, Chandran S, Christopoulos C, Nazarians-Armavil A, Nasseri NK, Musso G, Ali M, Nazemof N, Eroukova V, Golshani A, Paccanaro A, Greenblatt JF, Moreno-Hagelsieb G, Emili A
16818608	Regulon and promoter analysis of the E. coli heat-shock factor, sigma32, reveals a multifaceted cellular response to heat stress.	2006	Genes Dev	Nonaka G, Blankschien M, Herman C, Gross CA, Rhodius VA
3297162	The tertiary structure of salt-extracted ribosomal proteins from Escherichia coli as studied by proton magnetic resonance spectroscopy and limited proteolysis experiments.	1987	Biochim Biophys Acta	Littlechild J, Malcolm A, Paterakis K, Ackermann I, Dijk J
8740179	Two-dimensional gel electrophoresis of Escherichia coli homogenates: the Escherichia coli SWISS-2DPAGE database.	1996	Electrophoresis	Pasquali C, Frutiger S, Wilkins MR, Hughes GJ, Appel RD, Bairoch A, Schaller D, Sanchez JC, Hochstrasser DF
9205837	Construction of a contiguous 874-kb sequence of the Escherichia coli -K12 genome corresponding to 50.0-68.8 min on the linkage map and analysis of its sequence features.	1997	DNA Res	Yamamoto Y, Aiba H, Baba T, Hayashi K, Inada T, Isono K, Itoh T, Kimura S, Kitagawa M, Makino K, Miki T, Mitsuhashi N, Mizobuchi K, Mori H, Nakade S, Nakamura Y, Nashimoto H, Oshima T, Oyama S, Saito N, Sampei G, Satoh Y, Sivasundaram S, Tagami H, Horiuchi T
11557134	Novel domains of the prokaryotic two-component signal transduction systems.	2001	FEMS Microbiol Lett	Galperin MY, Nikolskaya AN, Koonin EV
12234664	A systematic investigation identifies a significant number of probable pseudogenes in the Escherichia coli genome.	2002	Gene	Homma K, Fukuchi S, Kawabata T, Ota M, Nishikawa K
14592990	Sequences that direct significant levels of frameshifting are frequent in coding regions of Escherichia coli.	2003	EMBO J	Gurvich OL, Baranov PV, Zhou J, Hammer AW, Gesteland RF, Atkins JF
16045609	C-di-GMP: the dawning of a novel bacterial signalling system.	2005	Mol Microbiol	Römling U, Gomelsky M, Galperin MY
15130122	Proteomic screening and identification of differentially distributed membrane proteins in Escherichia coli.	2004	Mol Microbiol	Lai EM, Nair U, Phadke ND, Maddock JR
17362200	Lipid A modification systems in gram-negative bacteria.	2007	Annu Rev Biochem	Raetz CR, Reynolds CM, Trent MS, Bishop RE
9624689	Quantitative whole-genome analysis of DNA-protein interactions by in vivo methylase protection in E. coli.	1998	Nat Biotechnol	Tavazoie S, Church GM
10627041	TRAP transporters: an ancient family of extracytoplasmic solute-receptor-dependent secondary active transporters.	1999	Microbiology (Reading)	Rabus R, Jack DL, Kelly DJ, Saier MH
12500982	The rotary motor of bacterial flagella.	2003	Annu Rev Biochem	Berg HC
12662917	Classification of 29 families of secondary transport proteins into a single structural class using hydropathy profile analysis.	2003	J Mol Biol	Lolkema JS, Slotboom DJ
14643936	The ion transporter superfamily.	2003	Biochim Biophys Acta	Prakash S, Cooper G, Singhi S, Saier MH
15647275	Transcriptional responses of Escherichia coli to S-nitrosoglutathione under defined chemostat conditions reveal major changes in methionine biosynthesis.	2005	J Biol Chem	Flatley J, Barrett J, Pullan ST, Hughes MN, Green J, Poole RK
16096261	Sequence and hydropathy profile analysis of two classes of secondary transporters.	2005	Mol Membr Biol	Lolkema JS, Slotboom DJ
16990279	Genome-wide analysis of substrate specificities of the Escherichia coli haloacid dehalogenase-like phosphatase family.	2006	J Biol Chem	Kuznetsova E, Proudfoot M, Gonzalez CF, Brown G, Omelchenko MV, Borozan I, Carmel L, Wolf YI, Mori H, Savchenko AV, Arrowsmith CH, Koonin EV, Edwards AM, Yakunin AF
17114896	Domain structure and pore loops in the 2-hydroxycarboxylate transporter family.	2006	J Mol Microbiol Biotechnol	Lolkema JS
19151138	Differential Interactions between Tat-specific redox enzyme peptides and their chaperones.	2009	J Bacteriol	Chan CS, Chang L, Rommens KL, Turner RJ
19854892	Global approaches for finding small RNA and small open reading frame functions.	2010	J Bacteriol	Wassarman KM, Kiley PJ
7517391	Structure of the O antigen of Escherichia coli K-12 and the sequence of its rfb gene cluster.	1994	J Bacteriol	Stevenson G, Neal B, Liu D, Hobbs M, Packer NH, Batley M, Redmond JW, Lindquist L, Reeves P
10320579	Substrate-specific binding of hook-associated proteins by FlgN and FliT, putative chaperones for flagellum assembly.	1999	Mol Microbiol	Fraser GM, Bennett JC, Hughes C
11169117	Substrate complexes and domain organization of the Salmonella flagellar export chaperones FlgN and FliT.	2001	Mol Microbiol	Bennett JC, Thomas J, Fraser GM, Hughes C
17122063	Time-dependent translational response of E. coli to excess Zn(II).	2006	J Biomol Tech	Easton JA, Thompson P, Crowder MW
17426813	Antibiotic stress, genetic response and altered permeability of E. coli.	2007	PLoS One	Viveiros M, Dupont M, Rodrigues L, Couto I, Davin-Regli A, Martins M, Pagès JM, Amaral L
1482109	Genetics and biogenesis of bacterial flagella.	1992	Annu Rev Genet	Macnab RM
4205905	Recombination deficient mutants of E. coli and other bacteria.	1973	Annu Rev Genet	Clark AJ
9743119	A genome-based approach for the identification of essential bacterial genes.	1998	Nat Biotechnol	Arigoni F, Talabot F, Peitsch M, Edgerton MD, Meldrum E, Allet E, Fish R, Jamotte T, Curchod ML, Loferer H
12107143	pH-dependent expression of periplasmic proteins and amino acid catabolism in Escherichia coli.	2002	J Bacteriol	Stancik LM, Stancik DM, Schmidt B, Barnhart DM, Yoncheva YN, Slonczewski JL
15170399	Self-assembly and type III protein export of the bacterial flagellum.	2004	J Mol Microbiol Biotechnol	Minamino T, Namba K
24627523	A second-generation protein-protein interaction network of Helicobacter pylori.	2014	Mol Cell Proteomics	Häuser R, Ceol A, Rajagopala SV, Mosca R, Siszler G, Wermke N, Sikorski P, Schwarz F, Schick M, Wuchty S, Aloy P, Uetz P
7968921	Biochemistry of homologous recombination in Escherichia coli.	1994	Microbiol Rev	Kowalczykowski SC, Dixon DA, Eggleston AK, Lauder SD, Rehrauer WM
8002586	Isolation and characterization of FliK-independent flagellation mutants from Salmonella typhimurium.	1994	J Bacteriol	Kutsukake K, Minamino T, Yokoseki T
9449357	Quasi- and nonequivalence in the structure of bacterial flagellar filament.	1998	Biophys J	Hasegawa K, Yamashita I, Namba K
9545371	Plugging interactions of HAP2 pentamer into the distal end of flagellar filament revealed by electron microscopy.	1998	J Mol Biol	Maki S, Vonderviszt F, Furukawa Y, Imada K, Namba K
